index,fR,fGV,fSoil,year,lat_utm18n,lon_utm18n,lat_degrees,lon_degrees,photo_id,residue_type,cover_crop_residue,R_427,R_482,R_547,R_604,R_660,R_723,R_824,R_914,R_1209,R_1572,R_1661,R_1730,R_2164,R_2202,R_2259,R_2329,R_swir1,R_swir2,wi,ndti,swira,sindri,sidri,ndvi
209,0.0556,0,0.9444,4/25/2016,4301134.752,418324.6653,38.855251,-75.941299,_04_25_2016_115124_.JPG,maize,No,0.140,0.154,0.204,0.252,0.283,0.328,0.354,0.385,0.485,0.533,0.520,0.517,0.526,0.516,0.510,0.515,0.527,0.517,1.018,0.009,0.039,0.005,0.006,0.111
210,0.0903,0,0.9097,4/25/2016,4301122.97,418326.453,38.855145,-75.941277,_04_25_2016_115138_.JPG,maize,No,0.140,0.157,0.211,0.261,0.294,0.342,0.368,0.400,0.493,0.538,0.523,0.520,0.526,0.516,0.511,0.515,0.531,0.517,1.026,0.013,0.056,0.005,0.006,0.112
211,0.0764,0,0.9236,4/25/2016,4301111.109,418325.029,38.855038,-75.941292,_04_25_2016_115152_.JPG,maize,No,0.144,0.160,0.210,0.255,0.289,0.336,0.363,0.396,0.501,0.545,0.530,0.526,0.531,0.521,0.514,0.517,0.537,0.522,1.030,0.015,0.065,0.006,0.006,0.113
212,0.25,0,0.75,4/25/2016,4301254.551,419109.7674,38.856403,-75.932266,_04_25_2016_122705_.JPG,maize,No,0.144,0.174,0.231,0.288,0.331,0.381,0.414,0.452,0.567,0.609,0.599,0.586,0.554,0.547,0.531,0.523,0.604,0.544,1.110,0.052,0.253,0.015,0.016,0.110
213,0.2917,0,0.7083,4/25/2016,4301255.924,419105.7896,38.856415,-75.932312,_04_25_2016_122712_.JPG,maize,No,0.144,0.173,0.232,0.289,0.331,0.381,0.414,0.451,0.565,0.606,0.595,0.583,0.551,0.544,0.528,0.520,0.601,0.541,1.110,0.052,0.252,0.015,0.016,0.110
214,0.2986,0,0.7014,4/25/2016,4301256.395,419103.1043,38.856419,-75.932343,_04_25_2016_122720_.JPG,maize,No,0.144,0.173,0.232,0.289,0.331,0.381,0.414,0.451,0.565,0.606,0.595,0.583,0.551,0.544,0.528,0.520,0.601,0.541,1.110,0.052,0.252,0.015,0.016,0.110
215,0.3056,0,0.6944,4/25/2016,4301257.219,419098.5135,38.856426,-75.932396,_04_25_2016_122726_.JPG,maize,No,0.145,0.173,0.231,0.289,0.332,0.381,0.414,0.451,0.563,0.604,0.593,0.580,0.549,0.542,0.526,0.517,0.599,0.539,1.110,0.052,0.251,0.015,0.016,0.110
216,0.2639,0,0.7361,4/25/2016,4301255.574,419096.5008,38.856411,-75.932419,_04_25_2016_122743_.JPG,maize,No,0.145,0.174,0.232,0.288,0.332,0.382,0.414,0.452,0.563,0.603,0.593,0.579,0.548,0.541,0.525,0.516,0.598,0.538,1.111,0.053,0.252,0.015,0.016,0.109
217,0.3264,0,0.6736,4/25/2016,4301254.401,419091.8896,38.8564,-75.932472,_04_25_2016_122751_.JPG,maize,No,0.145,0.174,0.232,0.288,0.333,0.382,0.414,0.451,0.563,0.602,0.593,0.579,0.547,0.540,0.524,0.515,0.597,0.537,1.113,0.053,0.255,0.015,0.016,0.109
218,0.3706,0,0.6294,4/25/2016,4301256.119,419086.6137,38.856415,-75.932533,_04_25_2016_122801_.JPG,maize,No,0.145,0.174,0.232,0.289,0.333,0.381,0.414,0.450,0.562,0.602,0.592,0.578,0.546,0.540,0.524,0.514,0.597,0.536,1.113,0.054,0.256,0.015,0.016,0.108
219,0.3056,0,0.6944,4/25/2016,4301254.821,419083.3029,38.856403,-75.932571,_04_25_2016_122810_.JPG,maize,No,0.145,0.174,0.232,0.289,0.333,0.381,0.414,0.450,0.562,0.602,0.592,0.578,0.546,0.540,0.524,0.514,0.597,0.536,1.113,0.054,0.256,0.015,0.016,0.108
220,0.3194,0,0.6806,4/25/2016,4301254.079,419079.9109,38.856396,-75.93261,_04_25_2016_122819_.JPG,maize,No,0.145,0.174,0.232,0.289,0.333,0.382,0.414,0.450,0.560,0.601,0.591,0.577,0.545,0.539,0.523,0.514,0.596,0.536,1.112,0.053,0.254,0.015,0.016,0.108
221,0.3542,0,0.6458,4/25/2016,4301254.883,419077.3158,38.856403,-75.93264,_04_25_2016_122831_.JPG,maize,No,0.145,0.174,0.232,0.290,0.334,0.382,0.415,0.452,0.559,0.600,0.590,0.576,0.545,0.538,0.523,0.513,0.595,0.535,1.112,0.053,0.252,0.015,0.016,0.108
222,0.25,0,0.75,4/25/2016,4301254.119,419076.0063,38.856396,-75.932655,_04_25_2016_122839_.JPG,maize,No,0.145,0.174,0.232,0.290,0.334,0.382,0.415,0.452,0.559,0.600,0.590,0.576,0.545,0.538,0.523,0.513,0.595,0.535,1.112,0.053,0.252,0.015,0.016,0.108
223,0.3542,0,0.6458,4/25/2016,4301253.675,419076.0018,38.856392,-75.932655,_04_25_2016_122847_.JPG,maize,No,0.145,0.174,0.232,0.290,0.334,0.382,0.415,0.452,0.559,0.600,0.590,0.576,0.545,0.538,0.523,0.513,0.595,0.535,1.112,0.053,0.252,0.015,0.016,0.108
224,0.1319,0,0.8681,4/25/2016,4301129.203,418951.5905,38.855259,-75.934074,_04_25_2016_123725_.JPG,maize,No,0.138,0.163,0.223,0.286,0.333,0.387,0.421,0.461,0.580,0.623,0.613,0.601,0.573,0.564,0.550,0.544,0.618,0.563,1.098,0.047,0.233,0.012,0.014,0.118
225,0.2083,0,0.7917,4/25/2016,4301126.705,418946.2714,38.855236,-75.934135,_04_25_2016_123736_.JPG,maize,No,0.137,0.162,0.224,0.289,0.336,0.390,0.423,0.461,0.577,0.618,0.609,0.597,0.566,0.559,0.544,0.536,0.613,0.556,1.103,0.049,0.242,0.014,0.015,0.116
226,0.1181,0,0.8819,4/25/2016,4301126.705,418946.2714,38.855236,-75.934135,_04_25_2016_123736_B.JPG,maize,No,0.137,0.162,0.224,0.289,0.336,0.390,0.423,0.461,0.577,0.618,0.609,0.597,0.566,0.559,0.544,0.536,0.613,0.556,1.103,0.049,0.242,0.014,0.015,0.116
227,0.2222,0,0.7778,4/25/2016,4301125.142,418936.2758,38.855221,-75.93425,_04_25_2016_123756_.JPG,maize,No,0.141,0.167,0.228,0.292,0.339,0.391,0.424,0.462,0.577,0.618,0.610,0.597,0.568,0.561,0.545,0.538,0.614,0.558,1.100,0.048,0.236,0.014,0.016,0.112
228,0.2292,0,0.7708,4/25/2016,4301125.163,418934.2801,38.855221,-75.934273,_04_25_2016_123804_.JPG,maize,No,0.141,0.167,0.228,0.292,0.339,0.391,0.424,0.462,0.577,0.618,0.610,0.597,0.568,0.561,0.545,0.538,0.614,0.558,1.100,0.048,0.236,0.014,0.016,0.112
229,0.2014,0,0.7986,4/25/2016,4301127.769,418929.0132,38.855244,-75.934334,_04_25_2016_123817_.JPG,maize,No,0.139,0.165,0.227,0.293,0.339,0.392,0.424,0.461,0.576,0.617,0.608,0.595,0.566,0.559,0.545,0.536,0.612,0.557,1.100,0.048,0.235,0.013,0.015,0.111
230,0.1597,0,0.8403,4/25/2016,4301126.505,418922.405,38.855232,-75.93441,_04_25_2016_123834_.JPG,maize,No,0.143,0.169,0.233,0.301,0.348,0.401,0.432,0.468,0.576,0.618,0.609,0.597,0.573,0.565,0.552,0.545,0.614,0.563,1.090,0.043,0.213,0.011,0.013,0.108
231,0.1736,0,0.8264,4/25/2016,4301127.481,418913.8238,38.85524,-75.934509,_04_25_2016_123854_.JPG,maize,No,0.144,0.171,0.236,0.306,0.353,0.406,0.437,0.472,0.577,0.619,0.609,0.597,0.573,0.564,0.554,0.545,0.614,0.564,1.089,0.042,0.211,0.010,0.011,0.106
232,0.9028,0,0.0972,4/25/2016,4300413.388,418570.129,38.848774,-75.938385,_04_25_2016_131558_.JPG,cereal_maize,Yes,0.121,0.151,0.203,0.259,0.308,0.363,0.401,0.455,0.587,0.578,0.596,0.568,0.447,0.469,0.419,0.387,0.587,0.445,1.319,0.137,0.595,0.056,0.050,0.132
233,0.8611,0,0.1389,4/25/2016,4300413.388,418570.129,38.848774,-75.938385,_04_25_2016_131605_.JPG,cereal_maize,Yes,0.121,0.151,0.203,0.259,0.308,0.363,0.401,0.455,0.587,0.578,0.596,0.568,0.447,0.469,0.419,0.387,0.587,0.445,1.319,0.137,0.595,0.056,0.050,0.132
234,0.9583,0,0.0417,4/25/2016,4300425.275,418568.9493,38.848881,-75.9384,_04_25_2016_131744_.JPG,cereal_maize,Yes,0.122,0.150,0.202,0.258,0.307,0.361,0.400,0.455,0.587,0.579,0.596,0.569,0.449,0.471,0.421,0.389,0.588,0.447,1.315,0.136,0.590,0.055,0.049,0.132
235,0.8889,0,0.1111,4/25/2016,4300423.167,418568.9277,38.848862,-75.9384,_04_25_2016_131753_.JPG,cereal_maize,Yes,0.122,0.150,0.202,0.258,0.307,0.361,0.400,0.455,0.587,0.579,0.596,0.569,0.449,0.471,0.421,0.389,0.588,0.447,1.315,0.136,0.590,0.055,0.049,0.132
236,0.6294,0.0769,0.2937,4/25/2016,4300418.957,418568.1901,38.848824,-75.938408,_04_25_2016_131803_.JPG,cereal_maize,Yes,0.122,0.151,0.202,0.258,0.308,0.363,0.401,0.455,0.586,0.578,0.596,0.568,0.448,0.470,0.420,0.388,0.587,0.446,1.316,0.137,0.592,0.055,0.049,0.132
237,0.6806,0.0069,0.3125,4/25/2016,4300415.045,418570.8403,38.848789,-75.938377,_04_25_2016_131813_.JPG,cereal_maize,Yes,0.121,0.151,0.203,0.259,0.308,0.363,0.401,0.455,0.587,0.578,0.596,0.568,0.447,0.469,0.419,0.387,0.587,0.445,1.319,0.137,0.595,0.056,0.050,0.132
238,0.8333,0,0.1667,4/25/2016,4300411.716,418570.8061,38.848759,-75.938377,_04_25_2016_131821_.JPG,cereal_maize,Yes,0.121,0.151,0.204,0.260,0.310,0.364,0.402,0.455,0.592,0.581,0.599,0.570,0.448,0.470,0.419,0.386,0.590,0.446,1.323,0.139,0.604,0.056,0.050,0.129
239,0.8403,0,0.1597,4/25/2016,4300410.822,418571.4044,38.848751,-75.93837,_04_25_2016_131828_.JPG,cereal_maize,Yes,0.121,0.152,0.204,0.261,0.310,0.365,0.403,0.456,0.596,0.584,0.602,0.572,0.449,0.471,0.420,0.387,0.593,0.447,1.326,0.140,0.611,0.057,0.051,0.130
240,0.8042,0.007,0.1888,4/25/2016,4300408.283,418570.0766,38.848728,-75.938385,_04_25_2016_131836_.JPG,cereal_maize,Yes,0.121,0.153,0.206,0.263,0.313,0.367,0.405,0.458,0.598,0.584,0.603,0.573,0.449,0.471,0.420,0.386,0.593,0.447,1.328,0.141,0.615,0.057,0.051,0.128
241,0.9444,0,0.0556,4/25/2016,4300406.619,418570.0594,38.848713,-75.938385,_04_25_2016_131843_.JPG,cereal_maize,Yes,0.121,0.153,0.206,0.263,0.313,0.367,0.405,0.458,0.598,0.584,0.603,0.573,0.449,0.471,0.420,0.386,0.593,0.447,1.328,0.141,0.615,0.057,0.051,0.128
242,0.9161,0.007,0.0769,4/25/2016,4300398.531,418568.6745,38.84864,-75.9384,_04_25_2016_131854_.JPG,cereal_maize,Yes,0.122,0.156,0.211,0.269,0.321,0.376,0.415,0.469,0.602,0.586,0.603,0.573,0.450,0.472,0.421,0.387,0.595,0.447,1.329,0.141,0.618,0.057,0.051,0.128
243,0.8803,0.0211,0.0986,4/25/2016,4300397.331,418566.6661,38.848629,-75.938423,_04_25_2016_131900_.JPG,cereal_maize,Yes,0.122,0.156,0.211,0.269,0.321,0.376,0.415,0.469,0.602,0.586,0.603,0.573,0.450,0.472,0.421,0.387,0.595,0.447,1.329,0.141,0.618,0.057,0.051,0.128
244,0.7042,0,0.2958,4/25/2016,4300394.335,418566.6353,38.848602,-75.938423,_04_25_2016_131906_.JPG,cereal_maize,Yes,0.122,0.156,0.212,0.270,0.322,0.377,0.417,0.470,0.599,0.585,0.601,0.571,0.450,0.472,0.421,0.388,0.593,0.448,1.325,0.140,0.610,0.057,0.051,0.129
245,0.9444,0.0069,0.0486,4/25/2016,4300392.22,418567.2211,38.848583,-75.938416,_04_25_2016_131915_.JPG,cereal_maize,Yes,0.122,0.156,0.212,0.270,0.322,0.377,0.417,0.470,0.599,0.585,0.601,0.571,0.450,0.472,0.421,0.388,0.593,0.448,1.325,0.140,0.610,0.057,0.051,0.129
246,0,0.0069,0.9931,4/25/2016,4298212.97,416950.0145,38.828796,-75.956787,_04_25_2016_134435_.JPG,soy,No,0.142,0.165,0.216,0.267,0.306,0.366,0.403,0.447,0.545,0.577,0.566,0.564,0.544,0.540,0.532,0.534,0.572,0.539,1.061,0.030,0.138,0.007,0.008,0.138
247,0.0069,0.0069,0.9861,4/25/2016,4298211.77,416948.0053,38.828785,-75.95681,_04_25_2016_134443_.JPG,soy,No,0.143,0.166,0.217,0.267,0.306,0.365,0.401,0.445,0.544,0.577,0.566,0.564,0.544,0.540,0.532,0.534,0.572,0.539,1.061,0.029,0.138,0.007,0.008,0.136
248,0.0069,0.0069,0.9861,4/25/2016,4298208.816,416943.981,38.828758,-75.956856,_04_25_2016_134452_.JPG,soy,No,0.144,0.168,0.220,0.271,0.310,0.369,0.405,0.450,0.547,0.580,0.569,0.567,0.546,0.541,0.533,0.535,0.574,0.540,1.064,0.031,0.146,0.008,0.008,0.134
249,0.0069,0,0.9931,4/25/2016,4298208.087,416939.3723,38.828751,-75.956909,_04_25_2016_134500_.JPG,soy,No,0.146,0.170,0.223,0.275,0.313,0.373,0.409,0.453,0.550,0.583,0.572,0.570,0.548,0.543,0.534,0.537,0.577,0.542,1.065,0.032,0.150,0.008,0.009,0.133
250,0.0139,0,0.9861,4/25/2016,4298207.685,416935.3747,38.828747,-75.956955,_04_25_2016_134508_.JPG,soy,No,0.146,0.171,0.224,0.276,0.315,0.375,0.411,0.455,0.552,0.586,0.574,0.572,0.551,0.545,0.536,0.538,0.580,0.544,1.065,0.032,0.150,0.008,0.009,0.132
251,0.0625,0,0.9375,4/25/2016,4298209.392,416931.3992,38.828762,-75.957001,_04_25_2016_134517_.JPG,soy,No,0.146,0.171,0.224,0.276,0.315,0.375,0.410,0.454,0.553,0.587,0.575,0.572,0.553,0.546,0.538,0.539,0.581,0.545,1.065,0.032,0.150,0.008,0.009,0.131
252,0.0486,0,0.9514,4/25/2016,4298209.419,416928.7951,38.828762,-75.957031,_04_25_2016_134529_.JPG,soy,No,0.146,0.171,0.224,0.276,0.315,0.375,0.410,0.454,0.553,0.587,0.575,0.572,0.553,0.546,0.538,0.539,0.581,0.545,1.065,0.032,0.150,0.008,0.009,0.131
253,0.0556,0.0069,0.9375,4/25/2016,4298209.003,416926.0996,38.828758,-75.957062,_04_25_2016_134537_.JPG,soy,No,0.146,0.170,0.222,0.274,0.313,0.373,0.408,0.453,0.553,0.588,0.575,0.573,0.553,0.546,0.538,0.539,0.581,0.546,1.066,0.032,0.151,0.008,0.009,0.132
254,0,0,1,4/25/2016,4298207.804,416924.0904,38.828747,-75.957085,_04_25_2016_134543_.JPG,soy,No,0.146,0.170,0.222,0.274,0.313,0.373,0.408,0.453,0.553,0.588,0.575,0.573,0.553,0.546,0.538,0.539,0.581,0.546,1.066,0.032,0.151,0.008,0.009,0.132
255,0.0417,0.0139,0.9444,4/25/2016,4298207.859,416918.7954,38.828747,-75.957146,_04_25_2016_134552_.JPG,soy,No,0.145,0.167,0.219,0.271,0.309,0.369,0.406,0.449,0.551,0.587,0.575,0.573,0.553,0.546,0.536,0.537,0.581,0.545,1.066,0.032,0.151,0.009,0.010,0.136
256,0,0,1,4/25/2016,4298207.886,416916.1913,38.828747,-75.957176,_04_25_2016_134600_.JPG,soy,No,0.145,0.167,0.219,0.271,0.309,0.369,0.406,0.449,0.551,0.587,0.575,0.573,0.553,0.546,0.536,0.537,0.581,0.545,1.066,0.032,0.151,0.009,0.010,0.136
257,0,0,1,4/25/2016,4298206.576,416914.1809,38.828735,-75.957199,_04_25_2016_134608_.JPG,soy,No,0.147,0.168,0.219,0.269,0.307,0.366,0.402,0.445,0.546,0.582,0.570,0.569,0.550,0.544,0.534,0.537,0.576,0.543,1.062,0.030,0.141,0.009,0.010,0.134
258,0.0069,0.0069,0.9861,4/25/2016,4298206.264,416912.181,38.828732,-75.957222,_04_25_2016_134615_.JPG,soy,No,0.147,0.168,0.219,0.269,0.307,0.366,0.402,0.445,0.546,0.582,0.570,0.569,0.550,0.544,0.534,0.537,0.576,0.543,1.062,0.030,0.141,0.009,0.010,0.134
259,0.0208,0,0.9792,4/25/2016,4298137.22,416828.638,38.828102,-75.958176,_04_25_2016_135615_.JPG,soy,No,0.153,0.178,0.232,0.285,0.325,0.379,0.410,0.451,0.555,0.591,0.578,0.577,0.561,0.554,0.547,0.548,0.584,0.554,1.055,0.027,0.129,0.006,0.007,0.115
260,0.0347,0,0.9653,4/25/2016,4298136.02,416826.6287,38.828091,-75.958199,_04_25_2016_135623_.JPG,soy,No,0.154,0.178,0.232,0.285,0.325,0.379,0.409,0.451,0.554,0.590,0.577,0.576,0.561,0.553,0.547,0.549,0.583,0.554,1.053,0.026,0.125,0.006,0.006,0.115
261,0.0972,0,0.9028,4/25/2016,4298134.716,416824.0107,38.828079,-75.958229,_04_25_2016_135632_.JPG,soy,No,0.154,0.177,0.233,0.286,0.325,0.379,0.410,0.451,0.554,0.590,0.577,0.576,0.561,0.554,0.548,0.550,0.584,0.555,1.053,0.026,0.123,0.006,0.006,0.115
262,0,0.0278,0.9722,4/25/2016,4298133.981,416820.0096,38.828072,-75.958275,_04_25_2016_135640_.JPG,soy,No,0.154,0.177,0.233,0.286,0.325,0.380,0.410,0.451,0.555,0.592,0.579,0.577,0.562,0.556,0.549,0.551,0.585,0.556,1.053,0.026,0.124,0.006,0.007,0.115
263,0.0278,0.0556,0.9167,4/25/2016,4298133.558,416818.0084,38.828068,-75.958298,_04_25_2016_135652_.JPG,soy,No,0.154,0.177,0.233,0.286,0.325,0.380,0.410,0.451,0.555,0.592,0.579,0.577,0.562,0.556,0.549,0.551,0.585,0.556,1.053,0.026,0.124,0.006,0.007,0.115
264,0,0.0347,0.9653,4/25/2016,4298131.491,416813.9933,38.828049,-75.958344,_04_25_2016_135700_.JPG,soy,No,0.153,0.177,0.231,0.284,0.324,0.379,0.410,0.452,0.557,0.594,0.581,0.579,0.563,0.558,0.550,0.552,0.587,0.557,1.054,0.026,0.127,0.007,0.007,0.118
265,0.0694,0.0069,0.9236,4/25/2016,4298129.764,416809.3741,38.828033,-75.958397,_04_25_2016_135708_.JPG,soy,No,0.153,0.176,0.230,0.283,0.322,0.378,0.409,0.451,0.556,0.593,0.580,0.578,0.562,0.556,0.549,0.551,0.586,0.556,1.055,0.027,0.128,0.006,0.007,0.118
266,0.1111,0,0.8889,4/25/2016,4298128.148,416804.7561,38.828018,-75.95845,_04_25_2016_135716_.JPG,soy,No,0.153,0.176,0.230,0.282,0.321,0.376,0.407,0.449,0.554,0.590,0.578,0.576,0.560,0.555,0.548,0.549,0.584,0.554,1.054,0.026,0.127,0.006,0.007,0.118
267,0.0764,0,0.9236,4/25/2016,4298126.955,416802.0524,38.828007,-75.958481,_04_25_2016_135723_.JPG,soy,No,0.153,0.176,0.229,0.281,0.320,0.374,0.405,0.447,0.553,0.589,0.577,0.575,0.560,0.554,0.548,0.550,0.583,0.554,1.052,0.026,0.122,0.006,0.006,0.118
268,0.0625,0,0.9375,4/25/2016,4298126.532,416800.0512,38.828003,-75.958504,_04_25_2016_135729_.JPG,soy,No,0.153,0.176,0.228,0.279,0.316,0.371,0.401,0.444,0.550,0.587,0.575,0.573,0.559,0.553,0.547,0.549,0.581,0.553,1.050,0.024,0.117,0.006,0.006,0.118
269,0.0694,0,0.9306,4/25/2016,4298126.129,416796.1404,38.827999,-75.958549,_04_25_2016_135736_.JPG,soy,No,0.153,0.176,0.226,0.276,0.313,0.366,0.397,0.440,0.547,0.585,0.573,0.571,0.559,0.553,0.546,0.549,0.579,0.553,1.047,0.023,0.111,0.006,0.006,0.118
270,0.0417,0.0069,0.9514,4/25/2016,4298124.07,416791.4309,38.82798,-75.958603,_04_25_2016_135744_.JPG,soy,No,0.153,0.175,0.225,0.273,0.310,0.363,0.393,0.436,0.545,0.583,0.571,0.569,0.558,0.552,0.545,0.548,0.577,0.552,1.045,0.022,0.105,0.006,0.007,0.119
271,0.0208,0.0417,0.9375,4/25/2016,4298123.653,416788.8221,38.827976,-75.958633,_04_25_2016_135751_.JPG,soy,No,0.153,0.175,0.225,0.273,0.310,0.363,0.393,0.436,0.545,0.583,0.571,0.569,0.558,0.552,0.545,0.548,0.577,0.552,1.045,0.022,0.105,0.006,0.007,0.119
272,0.8819,0,0.1181,4/25/2016,4297188.421,418012.4217,38.819664,-75.944427,_04_25_2016_141928_.JPG,cereal,Yes,0.095,0.119,0.172,0.224,0.264,0.343,0.400,0.452,0.531,0.427,0.449,0.424,0.306,0.321,0.289,0.263,0.438,0.305,1.433,0.178,0.555,0.052,0.032,0.206
273,0.7847,0,0.2153,4/25/2016,4297184.989,418011.6916,38.819633,-75.944435,_04_25_2016_141939_.JPG,cereal,Yes,0.095,0.119,0.172,0.224,0.264,0.343,0.400,0.452,0.531,0.427,0.449,0.424,0.306,0.321,0.289,0.263,0.438,0.305,1.433,0.178,0.555,0.052,0.032,0.206
274,0.8056,0,0.1944,4/25/2016,4297179.094,418012.9331,38.81958,-75.94442,_04_25_2016_141947_.JPG,cereal,Yes,0.095,0.123,0.177,0.234,0.279,0.361,0.424,0.480,0.546,0.439,0.463,0.436,0.314,0.330,0.296,0.270,0.451,0.313,1.440,0.180,0.578,0.055,0.034,0.207
275,0.7639,0,0.2361,4/25/2016,4297174.433,418012.8849,38.819538,-75.94442,_04_25_2016_141956_.JPG,cereal,Yes,0.095,0.121,0.175,0.231,0.276,0.358,0.422,0.478,0.544,0.434,0.456,0.430,0.308,0.324,0.291,0.266,0.445,0.308,1.446,0.182,0.576,0.054,0.033,0.209
276,0.7361,0,0.2639,4/25/2016,4297169.765,418013.5312,38.819496,-75.944412,_04_25_2016_142006_.JPG,cereal,Yes,0.094,0.119,0.172,0.228,0.271,0.353,0.416,0.473,0.544,0.430,0.452,0.425,0.304,0.320,0.287,0.261,0.441,0.303,1.453,0.185,0.577,0.054,0.033,0.211
277,0.7708,0,0.2292,4/25/2016,4297167.65,418014.1171,38.819477,-75.944405,_04_25_2016_142018_.JPG,cereal,Yes,0.094,0.119,0.172,0.228,0.271,0.353,0.416,0.473,0.544,0.430,0.452,0.425,0.304,0.320,0.287,0.261,0.441,0.303,1.453,0.185,0.577,0.054,0.033,0.211
278,0.6458,0,0.3542,4/25/2016,4297164.647,418014.7807,38.81945,-75.944397,_04_25_2016_142025_.JPG,cereal,Yes,0.094,0.118,0.171,0.226,0.269,0.351,0.413,0.472,0.549,0.430,0.453,0.426,0.303,0.319,0.286,0.259,0.442,0.302,1.461,0.187,0.584,0.055,0.033,0.211
279,0.5694,0,0.4306,4/25/2016,4297160.443,418013.4349,38.819412,-75.944412,_04_25_2016_142038_.JPG,cereal,Yes,0.093,0.118,0.171,0.225,0.268,0.350,0.413,0.472,0.553,0.433,0.457,0.429,0.305,0.321,0.287,0.260,0.445,0.304,1.465,0.189,0.593,0.056,0.034,0.212
280,0.7153,0,0.2847,4/25/2016,4297157.572,418012.1029,38.819386,-75.944427,_04_25_2016_142048_.JPG,cereal,Yes,0.093,0.118,0.171,0.224,0.267,0.348,0.412,0.470,0.544,0.432,0.455,0.429,0.306,0.322,0.289,0.262,0.444,0.306,1.452,0.184,0.579,0.055,0.034,0.214
281,0.7917,0,0.2083,4/25/2016,4297152.447,418013.96,38.81934,-75.944405,_04_25_2016_142056_.JPG,cereal,Yes,0.093,0.117,0.170,0.223,0.265,0.347,0.410,0.469,0.553,0.436,0.461,0.433,0.307,0.323,0.289,0.262,0.448,0.307,1.462,0.188,0.594,0.056,0.034,0.214
282,0.7847,0,0.2153,4/25/2016,4297150.358,418012.0283,38.819321,-75.944427,_04_25_2016_142103_.JPG,cereal,Yes,0.095,0.120,0.171,0.223,0.267,0.347,0.411,0.470,0.548,0.442,0.466,0.439,0.315,0.331,0.297,0.270,0.454,0.314,1.445,0.182,0.586,0.054,0.034,0.212
283,0.7222,0.0278,0.25,4/25/2016,4297149.922,418011.3292,38.819317,-75.944435,_04_25_2016_142111_.JPG,cereal,Yes,0.095,0.120,0.171,0.223,0.267,0.347,0.411,0.470,0.548,0.442,0.466,0.439,0.315,0.331,0.297,0.270,0.454,0.314,1.445,0.182,0.586,0.054,0.034,0.212
284,0.9301,0,0.0699,4/25/2016,4297300.452,418190.4352,38.82069,-75.94239,_04_25_2016_143123_.JPG,cereal_maize,Yes,0.071,0.077,0.129,0.143,0.142,0.328,0.423,0.464,0.468,0.315,0.351,0.331,0.213,0.224,0.201,0.180,0.333,0.213,1.566,0.221,0.506,0.055,0.023,0.498
285,0.9167,0.0347,0.0486,4/25/2016,4297298.344,418190.4135,38.820671,-75.94239,_04_25_2016_143132_.JPG,cereal_maize,Yes,0.071,0.077,0.129,0.143,0.142,0.328,0.423,0.464,0.468,0.315,0.351,0.331,0.213,0.224,0.201,0.180,0.333,0.213,1.566,0.221,0.506,0.055,0.023,0.498
286,0.9375,0.0208,0.0417,4/25/2016,4297297.914,418189.0199,38.820667,-75.942406,_04_25_2016_143138_.JPG,cereal_maize,Yes,0.071,0.077,0.129,0.143,0.142,0.328,0.423,0.464,0.468,0.315,0.351,0.331,0.213,0.224,0.201,0.180,0.333,0.213,1.566,0.221,0.506,0.055,0.023,0.498
287,0.8819,0.0417,0.0764,4/25/2016,4297295.049,418186.9934,38.820641,-75.942429,_04_25_2016_143145_.JPG,cereal_maize,Yes,0.069,0.074,0.125,0.137,0.134,0.328,0.431,0.471,0.463,0.302,0.339,0.319,0.202,0.213,0.191,0.171,0.320,0.202,1.586,0.227,0.497,0.054,0.022,0.527
288,0.9653,0.0139,0.0208,4/25/2016,4297291.657,418182.3569,38.82061,-75.942482,_04_25_2016_143151_.JPG,cereal_maize,Yes,0.069,0.074,0.126,0.137,0.133,0.333,0.440,0.481,0.461,0.287,0.326,0.305,0.190,0.199,0.180,0.159,0.306,0.190,1.616,0.235,0.491,0.052,0.020,0.536
289,0.9514,0.0347,0.0139,4/25/2016,4297289.569,418180.3385,38.820591,-75.942505,_04_25_2016_143158_.JPG,cereal_maize,Yes,0.071,0.078,0.131,0.146,0.144,0.337,0.438,0.481,0.467,0.294,0.333,0.312,0.196,0.206,0.185,0.164,0.313,0.196,1.602,0.231,0.495,0.052,0.020,0.505
290,0.9583,0.0278,0.0139,4/25/2016,4297286.156,418177.6986,38.82056,-75.942535,_04_25_2016_143207_.JPG,cereal_maize,Yes,0.072,0.080,0.134,0.150,0.148,0.340,0.441,0.485,0.474,0.306,0.344,0.323,0.205,0.215,0.194,0.171,0.325,0.205,1.587,0.227,0.506,0.051,0.021,0.497
291,0.8403,0.1111,0.0486,4/25/2016,4297284.062,418176.2879,38.820541,-75.942551,_04_25_2016_143214_.JPG,cereal_maize,Yes,0.074,0.083,0.137,0.155,0.157,0.337,0.430,0.474,0.482,0.327,0.364,0.343,0.224,0.234,0.212,0.188,0.345,0.223,1.547,0.215,0.513,0.051,0.023,0.464
292,0.9306,0.0486,0.0208,4/25/2016,4297280.759,418173.6491,38.820511,-75.942581,_04_25_2016_143221_.JPG,cereal_maize,Yes,0.076,0.086,0.138,0.158,0.163,0.333,0.420,0.465,0.486,0.342,0.379,0.359,0.238,0.249,0.225,0.200,0.360,0.237,1.521,0.207,0.519,0.052,0.024,0.440
